Ten_Xa,Mua_nam_TB_mm,Mua_1980_mm,Mua_1981_mm,Mua_1982_mm,Mua_1983_mm,Mua_1984_mm,Mua_1985_mm,Mua_1986_mm,Mua_1987_mm,Mua_1988_mm,Mua_1989_mm,Mua_1990_mm,Mua_1991_mm,Mua_1992_mm,Mua_1993_mm,Mua_1994_mm,Mua_1995_mm,Mua_1996_mm,Mua_1997_mm,Mua_1998_mm,Mua_1999_mm,Mua_2000_mm,Mua_2001_mm,Mua_2002_mm,Mua_2003_mm,Mua_2004_mm,Mua_2005_mm,Mua_2006_mm,Mua_2007_mm,Mua_2008_mm,Mua_2009_mm,Mua_2010_mm,Mua_2011_mm,Mua_2012_mm,Mua_2013_mm,Mua_2014_mm,Mua_2015_mm,Mua_2016_mm,Mua_2017_mm,Mua_2018_mm,Mua_2019_mm,Mua_2020_mm,Mua_2021_mm,Mua_2022_mm,Mua_2023_mm,Mua_kiet_TB_mm,Mua_kiet_1980_1981_mm,Mua_kiet_1981_1982_mm,Mua_kiet_1982_1983_mm,Mua_kiet_1983_1984_mm,Mua_kiet_1984_1985_mm,Mua_kiet_1985_1986_mm,Mua_kiet_1986_1987_mm,Mua_kiet_1987_1988_mm,Mua_kiet_1988_1989_mm,Mua_kiet_1989_1990_mm,Mua_kiet_1990_1991_mm,Mua_kiet_1991_1992_mm,Mua_kiet_1992_1993_mm,Mua_kiet_1993_1994_mm,Mua_kiet_1994_1995_mm,Mua_kiet_1995_1996_mm,Mua_kiet_1996_1997_mm,Mua_kiet_1997_1998_mm,Mua_kiet_1998_1999_mm,Mua_kiet_1999_2000_mm,Mua_kiet_2000_2001_mm,Mua_kiet_2001_2002_mm,Mua_kiet_2002_2003_mm,Mua_kiet_2003_2004_mm,Mua_kiet_2004_2005_mm,Mua_kiet_2005_2006_mm,Mua_kiet_2006_2007_mm,Mua_kiet_2007_2008_mm,Mua_kiet_2008_2009_mm,Mua_kiet_2009_2010_mm,Mua_kiet_2010_2011_mm,Mua_kiet_2011_2012_mm,Mua_kiet_2012_2013_mm,Mua_kiet_2013_2014_mm,Mua_kiet_2014_2015_mm,Mua_kiet_2015_2016_mm,Mua_kiet_2016_2017_mm,Mua_kiet_2017_2018_mm,Mua_kiet_2018_2019_mm,Mua_kiet_2019_2020_mm,Mua_kiet_2020_2021_mm,Mua_kiet_2021_2022_mm,Mua_kiet_2022_2023_mm
Xã Thượng Minh,1821.539,1795.5911,2459.1316,1897.1858,1830.0731,1561.9746,2083.1194,2207.6084,1569.1477,1625.7859,1870.1676,2282.6406,1597.8192,1736.9292,1767.3734,2050.1414,1673.7211,1854.4926,1877.4706,1584.3369,1618.911,1668.4368,1615.2704,1961.5251,1361.2574,1493.0717,1485.657,1920.0778,1805.1599,2238.2532,1589.3809,1928.6239,1406.113,1807.253,2032.8904,2028.2865,1994.0841,1574.8353,2331.908,2173.5789,1894.4286,1970.107,1654.6377,1983.7661,1285.4949,417.4346,710.3527,447.03223,493.27975,337.65643,408.17072,485.82755,307.97272,336.63583,428.42535,715.6643,342.85754,353.8087,415.59183,278.28302,319.75143,394.7459,541.1843,315.55444,400.46082,330.79904,329.11362,274.3454,365.95215,263.23096,328.0519,300.86758,457.03714,433.5493,464.12524,427.35107,435.5963,276.5263,393.32498,481.41324,355.84274,420.2424,637.024,492.5263,567.1046,594.1498,414.63065,574.99756,298.62827
Xã Bản Lầu,1741.605,1862.4816,2471.0972,2073.2366,1872.4832,1675.8104,2044.6855,2216.5798,1743.6871,1978.6378,1974.3312,2045.8206,1907.6278,1764.0874,1548.4912,2138.8025,1765.1993,1770.7699,1813.222,1245.025,1340.6493,1650.0793,1851.7783,1905.1248,1649.8082,1643.1692,1855.6744,1417.9377,1398.308,1740.6969,1439.3768,1523.9625,1562.2925,1595.0907,1572.3225,1763.2739,1437.8942,1783.4978,2013.2556,1852.5756,1452.5605,1804.1047,1408.5848,1733.3143,1323.2137,427.5542,593.12286,733.03253,593.18665,541.19635,437.50217,698.79767,462.49545,623.9645,467.37915,664.50555,482.37317,453.08652,423.08688,342.55606,385.00085,349.79398,568.19434,289.91653,286.95892,394.3057,416.2793,350.24533,474.59662,397.4394,424.61697,308.0964,295.03836,337.615,355.32812,284.8307,407.15646,313.84116,326.23245,411.20096,364.1047,438.54074,433.93033,436.5324,341.6624,396.1592,395.7115,447.92184,237.29239
Xã Phù Đổng,1905.9103,2168.9753,2212.0898,1940.4045,1870.9877,2083.4756,1923.0997,2315.3242,1957.1002,1599.4136,2093.8464,1930.9205,1806.5172,1718.3453,1746.8688,2597.584,1675.7717,1805.763,2224.5845,1577.0116,1628.7362,1603.6649,2280.8088,1724.7617,1631.9689,1519.3494,1752.1298,1364.6066,1729.9614,2232.8157,1744.6729,1728.9558,1958.0184,1900.7318,2119.2385,1901.8785,1963.9271,1941.0482,2169.9678,2189.673,1746.7498,1993.511,1892.0543,2238.3328,1654.412,391.74905,415.40918,395.2829,408.2249,350.74905,780.757,463.28516,316.82614,396.78183,345.17532,528.6552,436.95758,423.82205,358.27444,321.77286,345.91016,391.1441,680.91,263.77515,243.36002,489.8763,349.94418,247.73398,383.65793,292.71896,270.16846,326.86905,399.1669,309.04358,496.0592,270.4226,369.34146,291.0568,357.29572,446.45255,270.10315,453.6607,380.38028,369.17773,515.8147,576.08594,397.78455,412.15662,303.16162
Xã Biên Sơn,1532.0508,1892.3837,1901.5325,1646.7388,1735.2872,1466.8772,1641.6406,1796.8474,1375.419,1562.814,1569.18,1769.3458,1264.4377,1439.5791,1376.3387,1671.816,1519.7908,1452.5154,1744.308,1356.808,1087.4951,1156.8146,1863.6206,1532.4747,1409.4629,1244.4388,1521.775,1191.2399,1357.1748,1922.777,1110.2904,1627.0217,1345.3722,1501.5508,1842.1841,1676.741,1735.9551,1597.2727,1589.578,1698.7108,1443.66,1448.2533,1410.5737,1635.595,1276.5425,381.94644,499.3776,440.82578,475.94925,331.64713,486.169,507.9439,347.88733,364.37173,421.43753,600.9742,303.62885,377.56146,398.43594,306.07922,354.2341,354.67242,592.5471,376.20135,242.09666,378.604,380.99377,305.25906,459.1792,324.2989,278.00763,350.49213,301.66333,320.41275,366.8443,419.8998,318.6066,313.01813,380.89334,484.62662,299.38223,508.56824,323.39154,301.92853,440.67145,449.62457,275.45364,400.55786,259.27783
Xã Tà Tổng,2467.9429,2237.545,3208.67,2803.3062,2653.441,2454.1108,2707.9353,2756.711,2284.4336,2153.6072,2478.4646,2671.365,2842.4,2270.865,2673.331,2693.0625,2575.149,2558.0774,2749.0815,2581.6968,2357.2979,2338.5337,2058.8887,2559.6506,2396.4836,2311.1497,2393.5427,2251.9624,2296.1707,2886.6663,2246.1047,2444.9268,1916.2169,2547.6013,2498.663,2299.5784,2514.7905,1920.8499,2590.0896,2880.1436,2175.2986,2387.0457,2482.9546,2207.7974,2273.8254,497.44604,617.3841,644.961,548.58923,552.0323,372.74933,734.1687,480.7867,528.97565,503.75513,658.74054,514.19763,405.24847,542.73486,490.33456,490.5506,509.77353,678.5146,439.01428,420.6419,464.05267,392.08377,413.20746,672.24414,523.72943,408.79565,419.72498,404.14874,611.9514,564.3652,396.8918,497.59692,310.9047,492.72742,390.67273,515.03674,460.61942,505.56873,598.2354,433.8418,420.893,477.4615,616.02405,266.25232
Xã Ứng Thiên,1983.231,2485.0674,2248.2961,2226.0332,1953.7001,2010.7631,2222.7441,2325.779,1943.4918,1601.2227,2203.4592,1918.3743,1712.5199,1715.4968,1797.1334,2880.16,1763.2628,2093.7927,2351.3467,1569.3673,1773.7732,1734.504,2412.628,1650.8392,1624.4202,1410.0511,1851.2351,1588.4344,1623.7185,2588.946,1836.5131,1940.3036,1731.2672,1984.9891,2225.0698,2097.359,1696.4099,1941.4517,2294.2761,2419.5396,1853.6641,1953.2498,2115.663,2237.3186,1654.5305,418.97098,451.65085,409.3278,533.38184,342.80435,790.931,511.94263,340.92215,441.2952,370.4801,549.39166,436.87006,394.89255,356.87866,382.5888,379.3684,433.20752,678.5453,308.37888,282.89655,533.42505,367.29684,267.16504,398.04794,285.3342,267.04614,398.57318,370.7001,299.46243,519.4957,306.8852,384.42468,328.8409,468.6538,534.7677,395.73566,432.6578,456.7527,415.16534,530.7672,521.4341,461.96588,406.91586,268.4829
Xã Đức Lương,2282.386,2775.3281,2664.7498,2358.7573,2546.4072,2221.1208,2161.6584,2745.588,2442.8652,2093.2722,2443.4438,2618.0186,2143.204,2108.4133,2170.3984,2635.7065,2396.458,2499.4653,2512.7048,1786.7236,2027.942,2121.0771,2372.2834,1950.1868,1980.8203,1713.059,2067.9495,1954.2324,1703.1178,2492.7986,2002.6136,2276.4294,1951.7607,1961.5002,2647.7417,2244.8481,2447.1372,2084.7666,2826.437,2456.6072,2436.5085,2396.5862,2192.56,2598.5286,2193.2004,437.28284,518.21625,466.9615,515.5637,385.71475,455.99152,605.59705,451.81482,401.46115,404.3995,582.9823,453.5494,399.64755,423.43274,340.98868,397.94812,437.30386,614.15015,283.66046,310.46655,485.71564,392.64633,313.205,423.6247,342.9839,312.77826,342.86908,365.43356,371.9314,448.20056,403.78387,429.02917,307.72705,395.5284,458.43552,389.1551,685.81915,508.17618,420.0228,541.24066,566.9918,490.2819,601.0961,356.6354
Xã Thắng Mố,1806.9625,1963.3969,2003.9409,1935.0674,1962.419,1879.7432,2087.8398,2277.4216,1647.8751,1826.4238,1818.9102,2057.9138,1986.7781,1437.0814,1741.6641,2235.0986,1985.7715,1847.636,2006.3221,1525.6062,1782.3906,1619.4917,1704.5973,1881.6693,1718.5193,1458.6057,1569.3425,1679.8967,1761.6368,1908.5051,1495.117,1772.2921,1323.0603,1890.3762,1769.5133,1776.7319,1927.617,1552.073,1819.2518,1967.3342,1709.5718,1930.1311,1734.4231,1861.0334,1666.2643,493.61545,569.43384,580.9384,420.75308,479.75214,500.70407,647.40924,425.09775,525.16046,447.59412,621.3034,632.2049,455.0978,483.27423,421.75018,526.635,491.40097,670.2111,417.18896,449.91818,526.6472,423.95172,442.41977,467.28708,452.57626,488.26337,423.8943,511.20892,408.24844,489.60214,376.97467,423.5523,319.36163,431.41208,536.91144,458.8318,567.2798,520.48645,487.05536,651.24176,539.3556,588.80054,535.332,388.9415
Phường Hồng Quang,1890.5566,2464.7676,2146.114,2251.1099,1980.0844,1942.4576,2243.9023,1726.7505,1530.2776,1482.0535,2131.156,2240.7898,1404.0725,1677.3022,1671.1125,2940.775,1588.5159,2181.7825,1908.163,1549.5016,1722.5188,1578.5221,2144.4045,1537.3365,1643.1969,1567.587,1818.7943,1506.144,1361.5795,1846.7285,1778.4679,1805.1183,1955.9984,2124.2876,2021.394,1934.2246,1742.4519,1881.1967,2347.218,2055.4214,1466.322,1890.088,2264.921,2564.0334,1565.8503,380.19516,448.5838,396.29965,481.50375,325.71146,503.32477,390.00394,275.4921,377.1707,284.48575,360.18353,349.60416,383.64676,322.57922,373.01544,329.64917,451.37323,519.881,318.63684,246.31087,378.4116,309.82004,308.20706,357.73596,234.16312,359.30118,462.9775,340.967,339.7601,637.4983,318.28076,310.40765,338.48166,359.22372,434.37766,345.64935,550.21515,410.9707,370.3466,397.0733,414.2046,411.589,462.73346,358.54196
Phường Lê Ích Mộc,1875.8086,2362.067,2112.77,2080.4707,1607.7992,2000.7347,1840.4183,2362.8284,1872.5363,1830.5037,1688.0447,1947.1615,1360.2784,1937.5585,1907.3573,2315.5974,1908.141,1792.0867,1893.1869,1909.5778,1535.5228,1748.8407,2003.932,2003.16,1781.143,1454.5626,1745.3448,1601.4513,1558.9369,1878.5005,1532.3176,2061.2341,1857.0564,2272.941,2301.437,1592.8289,1893.73,1939.5205,2225.7805,2163.9614,1701.2457,1836.007,1704.318,1886.0581,1526.6282,368.16708,448.68628,407.72134,518.72577,349.44034,598.144,395.71262,309.72357,359.99356,337.3541,537.0129,334.0167,376.7629,312.45358,343.84027,355.90002,339.13074,457.88065,289.25186,287.10754,383.8931,374.04602,265.55545,442.65878,250.15588,221.24771,452.0102,327.03088,326.9768,404.68228,329.60645,323.83582,336.73572,376.97122,431.08322,317.20703,442.8824,335.9777,307.46466,468.4075,377.9368,335.24393,360.5085,280.20688
